127.0.0.1 - - [11/Mar/2024:14:01:46 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:19:14 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:19:14 +0530] "GET /BillingSystem/img/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:19:14 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:19:37 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:19:37 +0530] "GET /BillingSystem/img/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:19:37 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:19:37 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:20:15 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:20:15 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:20:15 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:20:15 +0530] "GET /BillingSystem/img/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:20:44 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:20:44 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:20:44 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:20:44 +0530] "GET /BillingSystem/img/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:21:05 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:21:05 +0530] "GET /BillingSystem/img/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:21:05 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:21:06 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:21:06 +0530] "GET /BillingSystem/img/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:21:06 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:21:52 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:21:52 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:21:52 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:22:33 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:22:33 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:22:33 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:22:35 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:22:35 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:23:03 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:23:03 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:25:22 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3368
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:25:22 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:25:22 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:25:38 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:26:39 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:26:39 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:26:39 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:27:16 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:27:16 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:27:17 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:27:53 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:27:53 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:27:53 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:29:48 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:29:49 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:29:49 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:30:12 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:30:12 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:30:31 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:30:31 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:34:37 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3575
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:34:37 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:34:37 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:34:37 +0530] "GET /BillingSystem/Feeds%20for%20livestock%20isolated%20cartoon%20vector%20illustrations%20set.%20Group%20of%20farmers%20with%20pasture%20forages,%20using%20roughages,%20cows%20eating%20grass%20in%20the%20pasture,%20feeding%20with%20concentrates%20vector%20cartoon. HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:35:34 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:35:34 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:35:34 +0530] "GET /BillingSystem/img/feeds-for-livestock-isolated-cartoon-vector-illustrations-set-group-of-farmers-with-pasture-forages-using-roughages-cows-eating-grass-in-the-pasture-feeding-with-concentrates-vector-cartoon-2W93A2N.jpg HTTP/1.1" 200 72891
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:36:11 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:36:11 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:36:11 +0530] "GET /BillingSystem/img/feeds-for-livestock-isolated-cartoon-vector-illustrations-set-group-of-farmers-with-pasture-forages-using-roughages-cows-eating-grass-in-the-pasture-feeding-with-concentrates-vector-cartoon-2W93A2N.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:36:31 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:36:31 +0530] "GET /BillingSystem/img/feeds-for-livestock-isolated-cartoon-vector-illustrations-set-group-of-farmers-with-pasture-forages-using-roughages-cows-eating-grass-in-the-pasture-feeding-with-concentrates-vector-cartoon-2W93A2N.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:36:31 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:36:45 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:36:45 +0530] "GET /BillingSystem/img/feeds-for-livestock-isolated-cartoon-vector-illustrations-set-group-of-farmers-with-pasture-forages-using-roughages-cows-eating-grass-in-the-pasture-feeding-with-concentrates-vector-cartoon-2W93A2N.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:37:22 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:37:22 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:38:47 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:38:47 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:38:47 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:38:47 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:38:48 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:38:48 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:40:06 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:40:06 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:40:08 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:41:04 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:41:55 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:41:55 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:41:55 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:42:11 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [11/Mar/2024:14:42:12 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:04:58 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:04:58 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:15:04:58 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:24:17 +0530] "GET /BillingSystem/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:24:17 +0530] "GET /BillingSystem/img/1605.m00.i125.n043.S.c12.324041900%20Farm%20landscape%20with%20cows%20vector%20illustration.jpg HTTP/1.1" 200 2765894
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:24:19 +0530] "GET /BillingSystem/Dashbord.html HTTP/1.1" 200 3396
